Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2015 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Australia,AUS,23815995,1.439216653,7741220,NA,1.44197E+12,60550,1.07998E+12,45350,NA,82.4,1.814,12.322,NA,98.8,3.9,NA,95,NA,159.1107635,0.925260007,0.1,1330945,146.6126839,5483.816402,16.19845822,NA,1.35177E+12,2.201810153,-0.622921249,2.375282585,23.68290667,20.05812647,21.53615394,26.25809902,24.50014864,3,87.81703813,1.953633592,108.1853261,19.68531481,29.30863306,100,NA,NA,209466,6032850095,46892808568,NA,56758.8692,-38634724990,1.508366722
Austria,AUT,8642699,1.120992502,83879,14.1,4.10367E+11,47480,4.26733E+11,49370,7.9,81.1902439,1.49,7.913,NA,98.5,3.7,NA,96,99.39652252,101.4115829,0.972829998,NA,38811.9,109.4473205,3800.29942,7.318859537,NA,3.81971E+11,1.014501586,2.300978667,1.129790194,25.17491325,53.08906056,49.33825483,23.80552569,45.12297832,8,25.15356994,0.698116413,155.8663134,15.03264403,80.83699546,100,NA,NA,115125,4750215268,-7975773544,NA,44195.81759,5836278366,0.896563335
Azerbaijan,AZE,9649341,1.191209858,86600,NA,63779093246,6610,1.40815E+11,14590,NA,71.451,1.94,63.093,NA,99.8,26.6,NA,98,103.2802124,86.49900055,NA,0.1,10778.87,4.540699406,NA,3.292794814,NA,53076235355,1.093975916,-8.849692569,6.177454947,44.89132034,37.79477749,34.80673042,27.91357117,34.18370725,3,NA,5.464876793,108.4519054,3.898571966,48.62628223,100,13337861420,3.714183938,1084,1293019000,4047630000,7.210855314,5500.503646,-838252000,4.027685737
"Bahamas, The",BHS,392697,0.912227428,13880,NA,10508280318,26760,11693074157,29780,NA,73.104,1.576,30.622,NA,98,14,NA,94,NA,NA,NA,1.3,5098.6,NA,NA,5.62112774,NA,11671900000,0.996758611,5.308932146,0.826771991,11.311783,36.33769995,37.12934484,24.9608033,14.83503566,8,NA,NA,79.24028134,0,30.88614536,100,NA,NA,1001,178800140.7,76075924.75,NA,29722.40684,-76075924.75,1.861483029
Bahrain,BHR,1362142,3.816604913,778,NA,31006860866,22760,59328731229,43560,NA,79.405,2.131,14.492,NA,99.9,7.6,NA,99,99.37207794,100.8134537,1.002130032,NA,6,195.6370274,NA,22.38562499,NA,31125851064,2.863047304,-9.369332141,0.315466039,40.2986503,82.90638896,71.65060855,25.46909766,17.20862114,7,61.84913614,4.644111349,184.9333623,0.93561435,93.00307947,100,NA,NA,29250,2367287234,64893617.02,NA,22850.6654,3126063830,1.848627424
Bangladesh,BGD,157830000,1.191061127,147630,NA,1.91339E+11,1210,7.07742E+11,4480,NA,70.491,2.114,83.664,NA,NA,38.5,28.9,97,NA,62.03123093,NA,0.1,18834,5.440384944,NA,0.463517075,NA,1.95147E+11,6.552639878,5.872777041,14.78299644,26.83139483,17.33667379,24.74932252,28.88668925,9.844484139,9,33.55675033,1.208517107,83.23875309,0.307867108,38.1385056,100,38704937144,0.844871389,-286512,32102746.72,2831152765,16.42849846,1236.435456,-2771250741,6.19428023
Barbados,BRB,278083,0.212392264,430,NA,4509606532,16220,4251232357,15290,NA,76.65,1.614,41.555,NA,99,13.3,NA,96,NA,108.2815323,1.013700008,1.1,63,67.69500643,NA,4.565435499,NA,4738650450,2.423925408,-1.810997655,1.595947006,13.59454357,39.93320609,47.15209475,16.83883752,26.58080567,7,62.2348078,NA,120.3928324,NA,44.33751808,100,NA,NA,-65,54531589.64,688525943.3,NA,17040.41761,-366328937.7,-1.112789925
Belarus,BLR,9461076,0.132853237,207600,5.1,63815259853,6750,1.64291E+11,17360,9.7,73.62439024,1.724,17.837,NA,NA,4.1,NA,99,94.09764099,97.52033234,0.991069973,0.4,86335,38.98818311,NA,5.799689169,NA,56454889147,-3.829663071,16.02323933,6.282949616,32.69269269,58.01023245,57.90345901,29.03459015,29.67682238,5,0.945905675,1.257482359,118.016106,4.472900643,100.4323998,100,38257921211,9.204631036,13681,162300000,1652300000,11.05371121,5967.06856,-1545700000,13.53448976
Belgium,BEL,11274196,0.579446242,30530,NA,5.13774E+11,45570,5.2825E+11,46850,8.6,80.99268293,1.7,6.862,NA,NA,4.1,NA,96,NA,164.0798187,1.080549955,0.2,6893,115.75753,4687.787049,8.434836506,NA,4.62336E+11,2.041459009,1.330386128,0.68641478,19.66988832,77.80528215,76.38726436,23.62795037,40.42014258,5,89.66568929,0.909284202,113.5645872,12.33445901,167.0585268,100,NA,NA,57008,4441158754,-19514245855,NA,41008.29672,26844377439,0.561429153
Belize,BLZ,359871,2.116320634,22970,NA,2061416233,5730,3253391316,9040,NA,73.187,2.438,69.786,NA,93.5,15.7,4.6,96,105.6142197,80.97367096,0.982169986,1.4,13328.3,21.72979514,NA,1.875949993,NA,2194709309,3.225493091,0.047314442,9.606910562,14.85225799,51.52884275,52.4655757,16.68420407,22.18176625,9,NA,0.892029622,58.89499293,0,69.66754064,100,1279832151,4.664193374,1363,41161360.53,59119223.9,78.55592826,6098.60008,-58649340.13,-0.861584009
Benin,BEN,10932783,2.951249123,114760,40.1,12462818464,1140,30710151501,2810,3.2,59.377,5.319,95.516,NA,NA,97.4,NA,67,78.03270721,57.3949585,0.859269977,1.1,33851.5,87.60123844,NA,0.503586324,NA,11388160997,1.77815106,0.851504261,26.39208509,16.38509544,24.72045121,32.03586197,20.73179209,NA,8,NA,0.798484705,85.22948043,1.625438077,37.25799101,100,2170545281,0.692155472,3366,98216933.46,149755663.3,39.93768146,1041.652523,-117056378,0.218785924
Bermuda,BMU,65237,0.151869636,4290,NA,6596440015,101120,4992912409,76530,NA,80.918,1.4,8.902,NA,NA,NA,NA,NA,104.991951,90.52207184,1.048499942,NA,10,NA,NA,NA,NA,6654541000,0.7755297,2.95202007,0.227889497,5.124380479,49.97083946,23.32465906,11.89258583,NA,NA,27.80056506,NA,60.17990625,27.16155607,14.36612984,100,NA,NA,-315,186973109.8,-143094386.1,NA,102005.6256,58627864.43,NA
Bhutan,BTN,743274,0.93496965,38394,NA,1995199619,2680,6957141131,9360,NA,70.343,1.957,29.516,NA,89,30.7,NA,97,94.79000092,85.19419098,1.035249949,0.2,27151.8,6.377392751,NA,1.402040163,NA,2154921011,6.568454317,3.316207396,12.17817487,39.05530874,32.01767979,58.98987324,57.29285374,18.24699963,8,NA,NA,90.91492505,NA,74.71271532,100,2011104023,6.408376488,-1171,54958721.17,6450953.85,130.8804005,2899.228294,-6450953.85,4.548143951
Bolivia,BOL,11090085,1.57314494,1098580,NA,32208419843,2900,76087068286,6860,3.9,67.318,2.886,70.233,NA,88.8,31.9,NA,95,89.52144623,91.79682159,0.982349992,0.3,520272.2,15.80469265,NA,1.803674183,NA,33000198249,4.85718718,-4.620602258,10.23949411,25.20241628,30.86829603,37.06454916,20.28127688,NA,14,NA,1.759435915,91.63886556,6.402594479,56.036027,100,9895204080,3.117666035,-10525,210175743.5,554643532.3,71.35292449,2975.648811,-556430243.1,4.059610411
Bosnia and Herzegovina,BIH,3524324,-1.317606589,51210,16.9,18086544443,5130,41956685718,11900,NA,76.182,1.289,10.862,NA,99.9,6.4,NA,83,91.67944336,83.06999969,NA,NA,21605,39.19796624,NA,5.569578733,NA,16404348871,4.314750611,1.365730709,6.037566951,21.72645605,35.11487563,53.17711421,21.68958985,38.13548511,13,NA,1.000613801,97.70724826,2.963819947,85.8552821,100,11614129610,11.69247139,-33976,55544289.46,383089615.7,101.1229429,4654.60862,-288355804.4,NA
Botswana,BWA,2305171,1.962368912,581730,16.1,13517543943,5860,30117036388,13060,3.9,63.818,2.942,54.22,NA,99.7,48.6,NA,97,NA,NA,NA,21,158462,72.01037171,NA,3.014835776,NA,13530748845,-4.85133564,3.730317376,1.947764868,37.54399949,53.09089734,59.80999367,28.44328922,35.32039,9,NA,2.825194499,150.7621557,0.6887783,100.1718394,100,2236640614,1.89613329,2145,94742111.7,378554181.5,28.43173062,5869.737579,-195308867,3.062031696
Brazil,BRA,205188205,0.845992601,8515770,NA,2.08425E+12,10160,2.93288E+12,14290,3.6,74.332,1.777,62.434,NA,98.2,15.9,NA,96,NA,100.920517,1.01473999,0.5,5038848,28.22129983,NA,2.365360621,NA,1.80221E+12,-3.545763393,7.566175012,4.319149429,19.36004398,12.90019142,14.05343452,17.41162587,29.2514316,11,27.21844343,1.365517154,125.6477067,14.48571488,20.37728957,100,5.43397E+11,5.080891166,4764,1339086890,64738153494,4.889121197,8783.215424,-61604176365,9.029901024
British Virgin Islands,VGB,29366,1.354221289,150,NA,NA,NA,NA,NA,NA,75.675,1.186,17.99,NA,NA,15.4,NA,NA,105.2109222,99.16829681,0.987879992,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.766056,NA,NA,100,NA,NA,302,NA,66712741571,NA,NA,NA,NA
Brunei Darussalam,BRN,421437,1.140935878,5770,NA,16120439313,38250,27808124919,65980,NA,74.75,1.947,11.525,NA,100,9.9,NA,96,99.8239975,107.5790024,0.998702049,NA,3800,140.5466466,NA,15.18067944,NA,12930291488,-0.39238375,-17.61280313,1.102486219,61.36235797,52.21059737,37.68319271,35.24580943,NA,7,NA,3.279290461,109.9533264,19.08870744,74.10505795,100,NA,NA,-485,NA,171289167.8,NA,30681.43397,-171289167.8,-0.488347421
Bulgaria,BGR,7177991,-0.638069468,111000,22.9,53359150403,7430,1.27899E+11,17820,5.3,74.61463415,1.53,39.2,NA,93.4,8.2,NA,92,97.06964874,100.0604706,0.975459993,0.1,38330,9.026183197,NA,6.207377524,NA,50811995689,3.397553876,2.947745873,4.061975774,24.03013949,63.80715712,62.92836755,20.9999296,33.60238615,7,NA,1.24553912,125.7944108,8.430607456,107.4077081,100,40378595625,19.23718718,-15356,114850000,2221390000,NA,7078.860323,-2098190000,-0.104633261
Burkina Faso,BFA,18718019,2.972345608,274220,NA,12719827562,680,30316565398,1620,NA,58.845,5.478,122.57,21.2,79.8,100.4,22.8,88,60.71788025,33.09024811,0.960349977,0.9,64664,14.46474244,NA,0.2031091,NA,11832159316,3.921228794,-2.223954179,22.64649849,24.36137578,26.10764554,32.98153577,19.40669972,14.97638664,3,NA,1.250780702,77.18176266,4.960277402,44.42130857,100,12597759899,14.23857776,-19754,180767735.8,231901703.7,53.33844434,632.1266858,-217796773,0.724838981
Burundi,BDI,10727148,2.18870609,27830,NA,2652740333,250,8810641483,820,NA,60.217,5.695,60.503,NA,NA,67.3,NA,93,62.09434128,45.28647995,1.004040003,1.3,2796.4,11.08176918,NA,0.034193618,NA,3104003546,-3.90000008,21.31874702,30.6846973,11.76642869,6.417273565,16.42100985,12.16345825,13.95769908,3,NA,2.131319915,46.58923322,3.492667709,31.50769596,100,626941607.8,0.867539085,-236447,21041437.16,49622865.77,34.20480573,289.3596272,-49470693.08,5.544688913
Cabo Verde,CPV,552166,1.109056551,4030,35.2,1855146771,3360,3353556951,6070,5.7,74.62,2.117,64.655,NA,91.4,18.3,NA,92,94.85301208,87.53730774,1.014520049,0.8,442.2,69.16433282,NA,0.905343683,NA,1749857620,0.936026508,1.620407559,6.408286376,14.61589099,41.13545234,52.87307781,29.10703356,20.9324135,9,NA,0.558982326,110.7398862,NA,38.34597696,100,1550559212,2.476047158,-1474,14207581.32,96071472.84,277.5433475,3169.078901,-111989153.5,0.131187999
Cambodia,KHM,15417523,1.34979002,181040,NA,16563942899,1070,48865317116,3170,NA,69.873,2.55,49.999,NA,NA,31.6,NA,85,89.68599701,NA,NA,0.7,88468.2,8.264631085,NA,0.546949079,NA,18049954289,6.965797817,1.786112458,26.58036001,27.67957211,61.71842376,66.14564324,22.4529982,16.57847147,8,NA,1.801622621,135.2392534,1.535160367,120.7925497,100,9438769398,4.05224204,-52272,314340835.2,1822804151,44.04338998,1170.742816,-1735043113,1.223931955
Cameroon,CMR,23012646,3.147582249,475440,NA,34926201164,1520,78538750619,3410,NA,59.658,4.832,118.841,NA,NA,89.3,NA,74,74.51306152,59.55471039,0.883459985,3.6,206204.8,29.5941134,NA,0.369370823,NA,32210233021,5.666952987,0.309791678,17.2094159,25.09148801,20.98914963,24.5509972,18.24985549,15.48490098,7,NA,1.098898643,78.91603165,4.856916367,31.36580848,100,7304904667,1.60185256,42007,75607434.96,694336734.9,28.86065223,1399.675336,-638519165.4,2.676235314
Canada,CAN,35704498,0.760300145,9879750,NA,1.69885E+12,47580,1.57042E+12,43980,6.9,81.81560976,1.6,9.685,NA,97.9,5.4,NA,89,NA,111.9304504,1.00838995,0.2,3471157.1,43.5630791,7631.00173,15.64921036,NA,1.55651E+12,0.649970994,-0.867651312,1.869835946,24.41568255,31.84996096,34.3149411,23.82159339,17.8509095,2,102.3700787,1.152709374,83.30038912,14.82804766,53.97887832,100,NA,NA,232738,5114157604,59986208237,NA,43594.1941,23927632715,1.125241361
Cayman Islands,CYM,60911,2.24463645,264,NA,2738890218,44970,2340668351,38430,NA,NA,NA,13.044,NA,NA,NA,NA,NA,NA,97.23799896,NA,NA,127.2,NA,NA,NA,NA,4708167255,2.833122427,0.341901494,0.378695339,7.006039148,NA,NA,NA,NA,NA,6.703882485,NA,153.0823661,NA,22.32291129,100,NA,NA,1079,NA,80501525457,NA,77295.84566,NA,-2.347527702
Central African Republic,CAF,4819333,0.428340362,622980,NA,1802704235,370,3603540435,750,NA,52.793,6.035,160.531,NA,NA,114.8,NA,46,NA,NA,NA,4,224530,23.39069951,NA,0.038262556,NA,1695825714,4.33712103,2.708263108,31.52738103,22.12525135,17.06766062,36.07748715,21.80538045,5.663160089,10,NA,1.575316779,25.7814515,5.268427891,25.47431593,100,690626853.7,1.023291639,-63213,NA,3000000,101.034731,351.8797548,NA,1.402970171
Chad,TCD,14140274,3.184100813,1284000,NA,12409756504,880,25398175030,1800,NA,51.589,6.706,161.833,5.7,24.3,128.6,29.4,46,38.94754028,23.02865982,0.698719978,1.4,48900,12.44928633,NA,0.104563037,NA,10950392257,2.767675685,-8.480017258,30.46300587,33.58470806,30.00176089,36.56240346,28.45915626,NA,9,NA,2.018821845,38.65410953,NA,55.94320145,100,2798645241,1.061537676,-48918,NA,559642023,42.88954872,774.4116031,NA,4.377126651
Channel Islands,CHI,162190,0.79108558,198,NA,NA,NA,NA,NA,NA,81.433,1.521,12.91638341,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,NA,NA,NA,NA,NA,NA
Chile,CHL,17870124,1.029425554,756096,11.7,2.54044E+11,14220,3.95546E+11,22130,5.6,79.746,1.737,40.067,NA,99.7,8,NA,96,97.77294922,100.9216766,0.988600016,0.4,175960.8,6.855076788,2016.687461,4.603236105,NA,2.4245E+11,2.151942499,4.954365527,3.709404275,27.88064041,29.19107949,30.15803099,25.59943795,21.14235766,8,78.51174289,1.909623355,129.861175,6.713711562,51.31895954,100,NA,NA,55709,386476769,17766285629,3.040269997,13567.35722,-1915152096,4.348773532
China,CHN,1379860000,0.581456147,9562911,5.7,1.08832E+13,7890,1.81295E+13,13140,6.4,76.977,1.67,15.327,NA,99.9,10.7,NA,99,NA,NA,1.01157999,NA,2102942.5,18.69140355,NA,7.145131535,NA,1.10616E+13,7.041328879,-0.002944094,8.387014882,40.84133997,21.35407988,18.11008945,43.23480666,16.04302306,11,74.02219921,1.776771069,92.70071605,30.42194543,35.73663652,100,1.33377E+12,1.150766579,-155379,5718191073,2.42489E+11,-0.2219718,8016.445595,-68098649765,1.437023809
Colombia,COL,47119728,0.941994067,1141749,NA,3.48545E+11,7400,6.18045E+11,13120,3.8,76.257,1.863,69.796,81,99,15.6,NA,94,102.4092331,97.67411804,1.021569967,0.4,601346.6,11.30738888,NA,1.719390231,NA,2.93492E+11,2.955901375,2.449328421,5.980424808,28.58944789,15.65021151,22.71055261,23.77369229,24.10241628,9,29.28711569,3.109960084,121.6634145,9.849345632,30.57967059,100,1.13362E+11,4.914883111,-41064,333683053.2,11620532646,28.77605838,6228.651621,-7402796210,4.989831158
Comoros,COM,730216,2.160064273,1861,NA,1077014644,1470,2154448542,2950,NA,62.896,4.418,66.546,NA,NA,61.4,NA,90,NA,NA,NA,0.1,351.1,96.60296009,NA,0.254582206,NA,966029600.9,1.147350761,-0.522859923,30.59862821,10.40840816,10.13619831,27.66875376,13.63804028,NA,9,NA,NA,58.17265028,3.22171045,23.91231074,100,125602671.9,0.764493461,-1349,1061490.514,4936699.51,90.15140976,1322.936776,-4936699.51,NA
"Congo, Dem. Rep.",COD,78656904,3.389391312,2344860,NA,34874329939,440,64496691330,820,NA,58.49,6.437,116.739,NA,NA,95.5,NA,65,67.49658966,43.82403946,0.889490008,0.8,1316621.2,55.46768066,NA,0.041082217,NA,37917706497,6.916167119,-1.155878593,18.3703885,41.7048639,27.7255678,31.60686316,18.5271202,10.75591665,7,NA,1.295639749,47.99678106,2.604466899,44.1825246,100,5996709516,0.982862011,47831,851177411,1165720010,33.04414197,482.0645686,-1165720010,0.744198995
"Congo, Rep.",COG,5064386,2.388405079,342000,NA,15680036451,3100,23908515204,4720,NA,63.233,4.564,115.052,30.1,91.2,52.9,NA,80,70.32499695,NA,NA,3.6,220150,270.3216058,NA,1.116621047,NA,12434793868,0.415193061,-17.25398754,5.810583781,48.67895667,40.85704879,76.46367277,76.78231476,19.94571492,12,NA,NA,102.9937292,0.925919621,154.1883219,100,6776694503,3.36287339,-18219,67671191.45,4279839199,17.53420909,2455.340858,-3730406566,3.169097968
Costa Rica,CRI,4895242,1.046343404,51100,23.6,51917061835,10610,80876470645,16520,4.3,79.086,1.79,55.253,77.8,90,9,NA,93,95.09250641,117.9162827,1.016720057,0.4,29530.3,17.67113423,NA,1.539842157,NA,56441920821,3.652080968,3.955215396,4.749110429,19.96787847,29.99565786,30.75790407,18.85372644,23.45720806,9,4.169808479,NA,153.9372109,16.98400363,45.5246732,100,23588779506,5.118596137,4065,407784045.2,2955521681,22.73636381,11529.95517,-2541308964,0.801982005
Cote d'Ivoire,CIV,23596741,2.580767289,322460,44.4,47540059402,2010,1.08732E+11,4610,5.7,57.762,4.813,112.919,NA,NA,86.3,NA,67,58.07336044,41.66373825,0.818220019,2.7,34011.5,39.42771529,NA,0.415553148,NA,45815005169,7.194949427,4.775682373,18.36204169,20.12155783,27.35324379,25.35962095,23.38814947,12.16411655,5,27.26842429,1.243927247,107.6742335,7.209713719,48.31604824,100,11387731267,1.806114886,-21498,649769213.5,494408755.8,27.62118801,1941.581898,-480000380.5,1.251499548
Croatia,HRV,4203604,-0.824099164,88073,19.5,56776312546,13510,99152112714,23590,7.3,77.27560976,1.41,9.784,NA,99.9,4.9,NA,93,100.3335724,100.7059402,1.031939983,0.1,19220,74.63228985,NA,3.94953949,NA,51011170112,2.549129635,0.121551145,2.951277432,20.48689475,45.4201754,45.2101587,19.25980778,37.99723907,8,36.09889748,1.760576686,103.7803054,10.70642055,65.66404951,100,NA,NA,-13408,412761799.2,33194697.02,NA,12135.10362,-219175590.6,-0.464499005
Cuba,CUB,11339894,0.069407446,109880,NA,81916050561,7220,NA,NA,NA,77.772,1.694,50.275,NA,99.9,6.1,NA,99,95.60201263,96.27414703,0.985199988,0.5,31840,12.52267893,NA,2.575844183,NA,87132800000,4.438333589,3.439048763,3.835754159,22.35380936,17.14738881,14.46642367,9.389116383,NA,NA,NA,3.083791445,29.41249715,NA,17.27478056,100,NA,NA,-14372,NA,NA,49.20328373,7683.740254,NA,NA
